GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,DP0010001,DP0020001,DP0020002,DP0020003,DP0080001,DP0080002,DP0080003,DP0080004,DP0080005,DP0080006,DP0080007,DP0080008,DP0080009,DP0080010,DP0080011,DP0080012,DP0080013,DP0080014,DP0080015,DP0080016,DP0080017,DP0080018,DP0080019,DP0080020,DP0080021,DP0080022,DP0080023,DP0080024,DP0120015,DP0120016,DP0120017,DP0120018,DP0120019,DP0120020,DP0160001
17031837800,Census Tract 8378,1005499.0,0.0,+41.8847501,-087.6841274,2796,29.9,29.3,30.6,2796,2720,402,2132,4,102,21,26,24,3,12,5,11,3,0,2,0,1,77,76,4,14,22,8,232,230,2,88,78,10,2.54
17031837400,Census Tract 8374,591449.0,0.0,+41.8759745,-087.6938013,2279,31.5,30.7,32.1,2279,2256,186,1965,4,23,4,4,5,0,1,1,8,0,0,0,0,0,78,23,3,4,7,4,0,0,0,174,140,34,2.97
17031836900,Census Tract 8369,164712.0,0.0,+41.8818831,-087.7061362,1442,28.7,26.2,29.9,1442,1405,109,1240,1,10,0,3,6,0,0,1,0,0,0,0,0,0,45,37,0,4,15,2,0,0,0,0,0,0,2.92
17031020601,Census Tract 206.01,591326.0,0.0,+42.0008746,-087.7018025,6353,31.3,31.0,31.6,6353,6052,3908,304,38,1317,608,74,75,12,43,61,444,1,0,1,0,0,484,301,12,110,30,70,0,0,0,32,26,6,3.18
17031020602,Census Tract 206.02,492027.0,0.0,+42.0013156,-087.6936373,4340,34.7,34.2,35.1,4340,4148,2084,326,11,1215,473,85,51,7,165,98,336,5,0,5,0,0,507,192,6,45,30,48,11,5,6,2,2,0,3.1
17031020302,Census Tract 203.02,639921.0,0.0,+42.0085406,-087.6949634,4650,38.6,37.7,40.2,4650,4504,3051,462,12,504,137,32,112,29,25,74,95,0,0,0,0,0,475,146,23,37,41,24,369,157,212,0,0,0,2.63
17031020902,Census Tract 209.02,503215.0,0.0,+41.9942499,-087.6786971,4286,38.7,37.8,39.4,4286,4142,2095,564,10,1123,252,100,99,11,25,219,417,2,0,2,0,0,348,144,3,11,24,33,170,88,82,291,142,149,2.45
17031010701,Census Tract 107.01,429680.0,0.0,+42.0091481,-087.6786203,3864,34.3,34.4,34.2,3864,3725,2125,761,15,204,50,15,67,9,4,24,35,2,0,0,1,1,618,139,10,20,38,29,0,0,0,0,0,0,2.52
17031030103,Census Tract 301.03,86635.0,101282.0,+41.9955241,-087.6551527,1928,29.0,30.2,26.8,1928,1871,1150,341,4,303,122,30,45,6,20,2,78,0,0,0,0,0,73,57,9,8,15,7,0,0,0,366,156,210,1.44
17031030102,Census Tract 301.02,113330.0,87128.0,+41.9930264,-087.6550225,3204,38.8,39.2,38.3,3204,3091,1898,709,13,330,98,28,64,17,8,11,104,1,0,0,1,0,140,113,10,14,29,14,53,25,28,13,13,0,1.66
17031010502,Census Tract 105.02,180367.0,0.0,+42.0045171,-087.6633275,3101,31.1,31.7,30.3,3101,2985,1820,776,31,239,71,37,34,5,6,3,83,1,0,0,0,1,118,116,9,50,20,8,0,0,0,3,3,0,1.84
17031010503,Census Tract 105.03,194275.0,0.0,+42.0003200,-087.6631269,2290,33.2,34.5,31.1,2290,2193,1452,303,19,331,61,96,18,18,29,25,84,2,2,0,0,0,86,97,14,23,14,11,0,0,0,163,62,101,1.8
17031010702,Census Tract 107.02,357547.0,0.0,+42.0090199,-087.6727257,5143,30.2,30.9,29.6,5143,4845,2381,1155,36,323,74,28,51,6,7,3,154,3,0,0,1,2,947,298,28,24,30,150,10,9,1,50,47,3,2.66
17031837100,Census Tract 8371,745299.0,0.0,+41.8856737,-087.6987210,1819,34.7,32.4,36.7,1819,1779,188,1531,6,12,2,3,2,1,1,3,0,0,0,0,0,0,42,40,1,2,17,6,0,0,0,64,23,41,2.44
17031837000,Census Tract 8370,412543.0,0.0,+41.8783233,-087.6986739,2085,30.7,26.9,33.1,2085,2054,99,1908,7,6,0,0,4,0,2,0,0,0,0,0,0,0,34,31,0,1,12,3,0,0,0,7,2,5,2.65
17031831400,Census Tract 8314,2104290.0,0.0,+41.8691188,-087.7560884,2964,36.6,36.5,36.7,2964,2914,501,1987,21,115,9,85,16,2,0,1,2,1,1,0,0,0,289,50,0,5,3,18,194,117,77,18,14,4,2.7
17031831300,Census Tract 8313,576175.0,0.0,+41.9077661,-087.7442596,1280,30.9,30.9,31.0,1280,1264,215,666,17,18,0,0,16,0,2,0,0,0,0,0,0,0,348,16,0,0,4,2,0,0,0,1,1,0,3.49
17031833000,Census Tract 8330,1312658.0,0.0,+41.8852883,-087.6572425,2768,33.9,34.5,33.4,2768,2709,2113,346,7,215,97,32,39,6,23,3,15,2,1,0,0,1,26,59,1,31,16,2,0,0,0,221,116,105,1.66
17031813701,Census Tract 8137.01,667532.0,0.0,+41.8548833,-087.7541951,3780,27.4,27.0,27.8,3780,3655,1880,333,26,15,2,0,12,0,0,0,1,10,7,3,0,0,1391,125,9,3,6,72,0,0,0,0,0,0,3.68
17031812301,Census Tract 8123.01,603513.0,0.0,+41.8891477,-087.7984589,3972,40.1,38.0,41.7,3972,3874,2683,716,2,385,118,100,59,28,37,7,36,0,0,0,0,0,88,98,10,27,24,5,26,20,6,0,0,0,1.7
17031812801,Census Tract 8128.01,317312.0,0.0,+41.8831871,-087.8024142,2943,39.4,39.1,39.8,2943,2849,1764,787,7,194,63,52,30,16,11,5,17,4,3,0,1,0,93,94,7,19,26,11,0,0,0,0,0,0,1.6
17031812802,Census Tract 8128.02,370744.0,0.0,+41.8832890,-087.7971767,2444,37.1,36.2,37.8,2444,2370,1722,461,13,131,34,32,14,10,15,3,23,1,1,0,0,0,42,74,2,22,31,4,0,0,0,0,0,0,1.82
17031812302,Census Tract 8123.02,677387.0,0.0,+41.8967468,-087.8015407,2818,42.1,41.4,42.7,2818,2729,2131,433,1,120,19,36,14,12,9,2,28,2,0,1,1,0,42,89,5,30,25,11,170,90,80,0,0,0,2.48
17031760801,Census Tract 7608.01,1300579.0,0.0,+41.9834848,-087.8448472,4047,34.8,34.7,35.0,4047,3937,2931,231,3,609,280,44,130,23,24,3,105,4,0,2,2,0,159,110,8,50,11,16,0,0,0,0,0,0,1.92
17031010201,Census Tract 102.01,504470.0,0.0,+42.0160076,-087.6801485,6450,32.4,32.8,32.1,6450,6115,2312,2350,48,299,57,30,53,11,14,25,109,6,2,1,1,2,1100,335,12,48,82,55,11,11,0,152,123,29,2.55
17031020901,Census Tract 209.01,484094.0,2819.0,+41.9950577,-087.6864264,5221,31.3,30.6,32.3,5221,4976,1839,1061,36,1182,398,86,125,13,13,139,408,1,0,0,0,1,857,245,10,62,62,43,0,0,0,16,15,1,2.91
17031020701,Census Tract 207.01,591396.0,0.0,+41.9868915,-087.7036897,1704,40.8,39.0,43.2,1704,1634,1088,42,7,418,51,32,124,12,81,64,54,0,0,0,0,0,79,70,3,29,2,20,0,0,0,0,0,0,2.63
17031010501,Census Tract 105.01,202151.0,0.0,+42.0094117,-087.6639581,4091,33.8,34.3,33.2,4091,3920,2018,1300,23,383,56,23,116,10,35,9,134,5,3,0,0,2,191,171,19,43,43,14,7,7,0,0,0,0,1.78
17031252101,Census Tract 2521.01,825523.0,24575.0,+41.8738791,-087.7698569,1370,38.7,34.6,43.1,1370,1344,29,1306,0,4,2,0,2,0,0,0,0,0,0,0,0,0,5,26,0,0,10,0,0,0,0,5,3,2,2.37
17031252102,Census Tract 2521.02,668487.0,0.0,+41.8765923,-087.7598116,6438,32.9,30.4,34.9,6438,6362,29,6294,24,1,0,0,0,0,0,0,1,1,1,0,0,0,13,76,2,0,20,0,0,0,0,0,0,0,3.01
17031252202,Census Tract 2522.02,637445.0,0.0,+41.8767584,-087.7445832,4609,31.7,29.2,34.3,4609,4573,31,4509,1,6,2,0,1,0,0,0,3,0,0,0,0,0,26,36,0,0,10,0,0,0,0,51,46,5,2.88
17031806201,Census Tract 8062.01,627989.0,0.0,+42.0454447,-087.8897874,4196,38.7,36.3,42.2,4196,4105,3248,114,14,419,110,47,70,10,151,8,23,0,0,0,0,0,310,91,5,22,18,32,0,0,0,0,0,0,1.91
17031806202,Census Tract 8062.02,1204190.0,0.0,+42.0376095,-087.8888919,4550,49.1,43.8,53.3,4550,4472,4000,101,10,241,51,36,54,22,48,0,30,0,0,0,0,0,120,78,7,24,11,24,0,0,0,0,0,0,1.81
17031040401,Census Tract 404.01,385796.0,0.0,+41.9720667,-087.6860816,3092,34.9,34.5,35.3,3092,2982,2369,51,9,261,13,35,96,7,8,47,55,2,0,0,0,2,290,110,8,35,17,28,0,0,0,0,0,0,2.26
17031220601,Census Tract 2206.01,189121.0,0.0,+41.9258252,-087.7128836,1766,30.7,30.5,30.9,1766,1681,1097,128,5,38,7,3,9,1,8,2,8,0,0,0,0,0,413,85,2,10,10,29,0,0,0,0,0,0,2.41
17031210502,Census Tract 2105.02,345944.0,0.0,+41.9337846,-087.7220524,4486,30.4,30.2,30.6,4486,4293,2852,129,57,73,33,1,30,2,4,0,3,1,1,0,0,0,1181,193,18,12,12,85,0,0,0,9,5,4,3.09
17031220602,Census Tract 2206.02,464798.0,0.0,+41.9293312,-087.7119813,5064,30.9,30.7,31.1,5064,4846,3283,402,38,153,20,25,33,12,26,2,35,7,1,6,0,0,963,218,11,34,39,86,14,14,0,0,0,0,2.07
17031210602,Census Tract 2106.02,380698.0,0.0,+41.9341669,-087.7125728,4683,29.8,29.4,30.2,4683,4468,2725,229,42,73,6,5,35,4,5,4,14,1,0,0,1,0,1398,215,11,14,32,104,0,0,0,0,0,0,3.0
17031220901,Census Tract 2209.01,293288.0,0.0,+41.9191816,-087.7212483,3498,28.7,27.9,29.4,3498,3328,1525,385,32,39,4,0,28,0,3,0,4,7,0,7,0,0,1340,170,6,9,24,90,0,0,0,0,0,0,3.37
17031220902,Census Tract 2209.02,330304.0,0.0,+41.9227112,-087.7218357,3371,29.6,29.4,29.8,3371,3182,1598,151,37,20,4,5,5,1,0,0,5,0,0,0,0,0,1376,189,9,7,21,105,0,0,0,0,0,0,3.39
17031200401,Census Tract 2004.01,402815.0,0.0,+41.9198285,-087.7375419,3603,28.3,28.1,28.6,3603,3491,1578,202,29,19,0,0,19,0,0,0,0,0,0,0,0,0,1663,112,5,0,10,60,0,0,0,0,0,0,3.84
