shapeid,x,y
0,-87.630221,41.857561
,,
0,-87.630217,41.857431
,,
0,-87.630202,41.856797
,,
0,-87.630197,41.856586
,,
0,-87.630178,41.855913
,,
0,-87.630158,41.85541
,,
0,-87.630158,41.855122
,,
0,-87.630149,41.854731
,,
0,-87.630133,41.854202
,,
0,-87.630131,41.854118
,,
0,-87.63013,41.85411
,,
0,-87.630129,41.854086
,,
0,-87.630129,41.854078
,,
0,-87.630127,41.854018
,,
0,-87.630122,41.85384
,,
0,-87.630121,41.853781
,,
0,-87.630116,41.853612
,,
0,-87.630113,41.853508
,,
0,-87.630104,41.853299
,,
0,-87.630084,41.853108
,,
0,-87.630068,41.852941
,,
0,-87.629924,41.852941
,,
0,-87.629603,41.852944
,,
0,-87.629495,41.852947
,,
0,-87.629352,41.852952
,,
0,-87.629347,41.852797
,,
1,-87.688135,41.855691
,,
1,-87.688158,41.856495
,,
1,-87.688171,41.856915
,,
1,-87.688171,41.857039
,,
1,-87.688171,41.857411
,,
1,-87.688171,41.857536
,,
1,-87.688171,41.85766
,,
1,-87.688172,41.858033
,,
1,-87.688173,41.858158
,,
1,-87.688181,41.858393
,,
1,-87.688208,41.859101
,,
1,-87.688217,41.859337
,,
1,-87.688073,41.859338
,,
1,-87.687904,41.859339
,,
1,-87.68774,41.85934
,,
1,-87.687421,41.859342
,,
1,-87.68631,41.859358
,,
1,-87.685834,41.859366
,,
1,-87.685101,41.859245
,,
1,-87.682902,41.858883
,,
1,-87.68217,41.858763
,,
1,-87.681993,41.85876
,,
1,-87.681462,41.858754
,,
1,-87.681286,41.858752
,,
1,-87.680726,41.85879
,,
1,-87.67905,41.858904
,,
1,-87.678491,41.858942
,,
1,-87.678481,41.858895
,,
1,-87.678454,41.858754
,,
1,-87.678445,41.858708
,,
1,-87.678442,41.858666
,,
1,-87.678433,41.858542
,,
1,-87.678431,41.858501
,,
1,-87.678455,41.858484
,,
1,-87.678469,41.858464
,,
1,-87.678465,41.858341
,,
1,-87.678457,41.858086
,,
1,-87.678452,41.85786
,,
1,-87.67845,41.85781
,,
1,-87.678446,41.857634
,,
1,-87.678441,41.857451
,,
1,-87.67844,41.857405
,,
1,-87.678434,41.857176
,,
1,-87.678426,41.856949
,,
1,-87.678424,41.856904
,,
1,-87.678417,41.856722
,,
1,-87.67841,41.856603
,,
1,-87.678408,41.856538
,,
1,-87.678404,41.856263
,,
1,-87.678398,41.856034
,,
1,-87.678397,41.855989
,,
1,-87.678393,41.855806
,,
1,-87.678389,41.855623
,,
1,-87.678388,41.855574
,,
1,-87.678382,41.855343
,,
1,-87.678376,41.855118
,,
1,-87.678374,41.855075
,,
1,-87.678369,41.854893
,,
1,-87.678366,41.854821
,,
1,-87.678359,41.854605
,,
1,-87.678357,41.854534
,,
1,-87.678356,41.854506
,,
1,-87.678355,41.85444
,,
1,-87.678354,41.854422
,,
1,-87.67835,41.854208
,,
1,-87.678346,41.854088
,,
1,-87.678344,41.853977
,,
1,-87.678339,41.853793
,,
1,-87.678338,41.853748
,,
1,-87.678332,41.85352
,,
1,-87.678325,41.85329
,,
1,-87.678323,41.853243
,,
1,-87.678318,41.85306
,,
1,-87.678312,41.852875
,,
1,-87.678311,41.852828
,,
1,-87.678303,41.852596
,,
1,-87.678298,41.852366
,,
1,-87.678297,41.852321
,,
1,-87.678293,41.852137
,,
1,-87.678783,41.852129
,,
1,-87.680252,41.852106
,,
1,-87.680743,41.852099
,,
1,-87.680988,41.852095
,,
1,-87.681724,41.852084
,,
1,-87.68197,41.852081
,,
1,-87.682213,41.852077
,,
1,-87.682944,41.852065
,,
1,-87.683188,41.852062
,,
1,-87.683678,41.852053
,,
1,-87.68377,41.852052
,,
1,-87.684352,41.852043
,,
1,-87.685034,41.852034
,,
1,-87.685149,41.852033
,,
1,-87.68564,41.852032
,,
1,-87.685947,41.85203
,,
1,-87.686102,41.852029
,,
1,-87.686254,41.852029
,,
1,-87.687489,41.852013
,,
1,-87.687709,41.852011
,,
1,-87.687875,41.852009
,,
1,-87.687952,41.852009
,,
1,-87.687953,41.852032
,,
1,-87.688053,41.852832
,,
1,-87.687981,41.852921
,,
1,-87.688027,41.853857
,,
1,-87.688032,41.853971
,,
1,-87.68805,41.854316
,,
1,-87.688056,41.854431
,,
1,-87.688059,41.854474
,,
1,-87.688069,41.854605
,,
1,-87.688073,41.854649
,,
1,-87.688076,41.854682
,,
1,-87.688085,41.854785
,,
1,-87.688088,41.854819
,,
1,-87.688112,41.855162
,,
1,-87.688115,41.855237
,,
1,-87.688135,41.855691
,,
2,-87.66782,41.874184
,,
2,-87.667683,41.874195
,,
2,-87.667273,41.874228
,,
2,-87.66687,41.874248
,,
2,-87.666855,41.874249
,,
2,-87.666686,41.874251
,,
2,-87.666599,41.874251
,,
2,-87.666598,41.87423
,,
2,-87.666597,41.87417
,,
2,-87.666597,41.87415
,,
2,-87.666589,41.873906
,,
2,-87.666568,41.873174
,,
2,-87.666561,41.87293
,,
2,-87.666559,41.872853
,,
2,-87.666553,41.872669
,,
2,-87.666541,41.872241
,,
2,-87.66653,41.871888
,,
2,-87.666523,41.871628
,,
2,-87.666509,41.871155
,,
2,-87.666467,41.869736
,,
2,-87.666454,41.869263
,,
2,-87.666449,41.869107
,,
2,-87.666435,41.868643
,,
2,-87.666431,41.868488
,,
2,-87.666425,41.868298
,,
2,-87.666422,41.868153
,,
2,-87.666412,41.867818
,,
2,-87.666409,41.867731
,,
2,-87.666408,41.86768
,,
2,-87.666404,41.867543
,,
2,-87.666402,41.867466
,,
2,-87.666399,41.867405
,,
2,-87.666399,41.86739
,,
2,-87.666394,41.867206
,,
2,-87.666388,41.867021
,,
2,-87.666387,41.866992
,,
2,-87.666386,41.866938
,,
2,-87.666384,41.866855
,,
2,-87.666414,41.866855
,,
2,-87.666887,41.866854
,,
2,-87.667043,41.866854
,,
2,-87.667671,41.866852
,,
2,-87.668287,41.866856
,,
2,-87.668399,41.866856
,,
2,-87.668903,41.866859
,,
2,-87.669012,41.866857
,,
2,-87.669342,41.866851
,,
2,-87.669402,41.866851
,,
2,-87.669452,41.86685
,,
2,-87.669497,41.86685
,,
2,-87.669587,41.866848
,,
2,-87.669991,41.866842
,,
2,-87.670127,41.866841
,,
2,-87.670371,41.866837
,,
2,-87.671105,41.866826
,,
2,-87.67135,41.866823
,,
2,-87.671825,41.866815
,,
2,-87.67193,41.866814
,,
2,-87.672509,41.866806
,,
2,-87.673118,41.866798
,,
2,-87.673251,41.866796
,,
2,-87.673727,41.86679
,,
2,-87.673853,41.866788
,,
2,-87.67425,41.866782
,,
2,-87.674255,41.866781
,,
2,-87.674773,41.866775
,,
2,-87.675318,41.866767
,,
2,-87.675461,41.866765
,,
2,-87.675864,41.86676
,,
2,-87.675941,41.866759
,,
2,-87.676172,41.866755
,,
2,-87.67625,41.866755
,,
2,-87.676619,41.866749
,,
2,-87.677726,41.866731
,,
2,-87.678096,41.866726
,,
2,-87.678215,41.866724
,,
2,-87.678574,41.86672
,,
2,-87.678694,41.866719
,,
2,-87.678824,41.866717
,,
2,-87.679029,41.866714
,,
2,-87.679217,41.866711
,,
2,-87.679348,41.866709
,,
2,-87.679532,41.866705
,,
2,-87.680087,41.866697
,,
2,-87.680272,41.866694
,,
2,-87.680446,41.866691
,,
2,-87.680968,41.866684
,,
2,-87.68108,41.866683
,,
2,-87.681143,41.866682
,,
2,-87.681632,41.866675
,,
2,-87.681753,41.866674
,,
2,-87.682363,41.866665
,,
2,-87.682976,41.866656
,,
2,-87.6831,41.866654
,,
2,-87.68359,41.866647
,,
2,-87.68359,41.866658
,,
2,-87.68359,41.866694
,,
2,-87.683591,41.866706
,,
2,-87.683591,41.86672
,,
2,-87.683592,41.866762
,,
2,-87.683593,41.866776
,,
2,-87.683593,41.866802
,,
2,-87.683595,41.86688
,,
2,-87.683596,41.866907
,,
2,-87.683598,41.867004
,,
2,-87.683599,41.867037
,,
2,-87.683601,41.867102
,,
2,-87.683607,41.86733
,,
2,-87.683609,41.867427
,,
2,-87.683613,41.867558
,,
2,-87.683616,41.86766
,,
2,-87.683625,41.867966
,,
2,-87.683628,41.868069
,,
2,-87.683633,41.868257
,,
2,-87.683648,41.868823
,,
2,-87.683654,41.869012
,,
2,-87.683658,41.869206
,,
2,-87.683668,41.869394
,,
2,-87.68367,41.869482
,,
2,-87.683687,41.870234
,,
2,-87.683706,41.870894
,,
2,-87.68372,41.871365
,,
2,-87.683726,41.871613
,,
2,-87.683747,41.87236
,,
2,-87.683754,41.872609
,,
2,-87.683756,41.872699
,,
2,-87.683763,41.872968
,,
2,-87.683766,41.873059
,,
2,-87.683771,41.873232
,,
2,-87.683772,41.873263
,,
2,-87.683778,41.873467
,,
2,-87.683786,41.873753
,,
2,-87.683787,41.873767
,,
2,-87.683781,41.873927
,,
2,-87.683556,41.87393
,,
2,-87.682882,41.873941
,,
2,-87.682658,41.873945
,,
2,-87.682395,41.873948
,,
2,-87.681607,41.87396
,,
2,-87.681345,41.873965
,,
2,-87.680856,41.873972
,,
2,-87.679389,41.873996
,,
2,-87.678901,41.874004
,,
2,-87.678411,41.874011
,,
2,-87.677336,41.874028
,,
2,-87.676945,41.874035
,,
2,-87.676696,41.87404
,,
2,-87.676456,41.874043
,,
2,-87.67617,41.874047
,,
2,-87.675753,41.874053
,,
2,-87.675315,41.874059
,,
2,-87.67503,41.874064
,,
2,-87.674995,41.874064
,,
2,-87.674893,41.874066
,,
2,-87.674859,41.874067
,,
2,-87.674831,41.874067
,,
2,-87.674749,41.874068
,,
2,-87.674722,41.874069
,,
2,-87.67458,41.874071
,,
2,-87.674158,41.874078
,,
2,-87.674017,41.874081
,,
2,-87.673752,41.874084
,,
2,-87.67296,41.874097
,,
2,-87.672696,41.874102
,,
2,-87.672468,41.874105
,,
2,-87.671788,41.874116
,,
2,-87.671561,41.87412
,,
2,-87.671186,41.874125
,,
2,-87.671021,41.874128
,,
2,-87.670869,41.874113
,,
2,-87.670594,41.874116
,,
2,-87.670306,41.874124
,,
2,-87.670064,41.874138
,,
2,-87.670028,41.874141
,,
2,-87.66969,41.874152
,,
2,-87.66961,41.874154
,,
2,-87.669591,41.874154
,,
2,-87.669574,41.874154
,,
2,-87.669226,41.874158
,,
2,-87.669111,41.87416
,,
2,-87.668879,41.874163
,,
2,-87.668185,41.874173
,,
2,-87.667954,41.874177
,,
2,-87.667888,41.874178
,,
2,-87.66782,41.874184
,,
3,-87.838442,41.9702
,,
3,-87.838527,41.970198
,,
3,-87.838579,41.970197
,,
3,-87.838989,41.970189
,,
3,-87.839127,41.970187
,,
3,-87.839373,41.970182
,,
3,-87.839435,41.970182
,,
3,-87.839743,41.970178
,,
3,-87.840052,41.970173
,,
3,-87.840113,41.970172
,,
3,-87.84036,41.970168
,,
3,-87.840497,41.970165
,,
3,-87.840911,41.970155
,,
3,-87.841049,41.970153
,,
3,-87.841157,41.970151
,,
3,-87.841482,41.970144
,,
3,-87.841591,41.970143
,,
3,-87.841589,41.970419
,,
3,-87.841582,41.971249
,,
3,-87.841581,41.971526
,,
3,-87.841577,41.971604
,,
3,-87.841565,41.971838
,,
3,-87.841562,41.971917
,,
3,-87.841549,41.972224
,,
3,-87.84205,41.972227
,,
3,-87.844036,41.972241
,,
3,-87.844477,41.972243
,,
3,-87.844662,41.972245
,,
3,-87.845287,41.972249
,,
3,-87.845535,41.97225
,,
3,-87.845777,41.972253
,,
3,-87.846269,41.972259
,,
3,-87.846321,41.972261
,,
3,-87.84648,41.972267
,,
3,-87.846533,41.97227
,,
3,-87.846527,41.972557
,,
3,-87.846509,41.973419
,,
3,-87.846508,41.973469
,,
3,-87.846493,41.973706
,,
3,-87.846738,41.973719
,,
3,-87.849168,41.973707
,,
3,-87.849937,41.973698
,,
3,-87.849974,41.974321
,,
3,-87.849947,41.975382
,,
3,-87.850131,41.975456
,,
3,-87.850193,41.975498
,,
